zh,en,note
圖文選單,rich menu richmenu,聊天室下方的常駐選單
選單,rich menu richmenu,
快速回覆,quick reply quickReply,
推播,push,主動發送訊息
主動發送,push,
回覆,reply,使用 replyToken
群發,multicast,最多 500 人
廣播,broadcast,發給所有好友
分眾,narrowcast,依屬性/受眾篩選
受眾,audience audienceGroup,
訊息,message,
文字訊息,text message,
圖片訊息,image message,
影片訊息,video message,
語音訊息,audio message,
位置訊息,location message,
貼圖,sticker,
表情,emoji,
樣板訊息,template message,
按鈕樣板,buttons template,
確認樣板,confirm template,
輪播,carousel,
彈性訊息,flex message,
卡片,bubble flex,
容器,container,
元件,component,
版面,layout,
邊框,border,
圓角,cornerRadius,
內距,padding,
外距,margin,
偏移,offset,
背景,background,
漸層,linearGradient,
動作,action,
按鈕,button,
連結,uri link,
回傳資料,postback,
日期選擇,datetimepicker,
相機,camera,
相簿,cameraRoll,
複製,clipboard,
切換選單,richmenuswitch,
事件,event webhook,
webhook 事件,webhook event,
加好友,follow,
封鎖,unfollow,
加入群組,join,
離開群組,leave,
成員加入,memberJoined,
成員離開,memberLeft,
收回訊息,unsend,
編輯訊息,messageEdited,
帳號連結,accountLink,
會員,membership,
簽章,signature x-line-signature,
驗證,verify validate,
簽章驗證,verify signature,
存取權杖,access token,
權杖,token,
頻道,channel,
頻道密鑰,channel secret,
使用者編號,userId user id,
群組編號,groupId,
個人資料,profile,
大頭貼,pictureUrl,
顯示名稱,displayName,
狀態訊息,statusMessage,
語系,language,
好友,follower friend,
好友數,followers,
統計,insight statistics,
成效,insight,
額度,quota,
用量,consumption,
價格,pricing,
費用,pricing,
速率限制,rate limit,
限制,limit,
上限,max maximum,
錯誤,error,
錯誤碼,status code error,
逾時,timeout expired,
過期,expired,
重試,retry,
冪等,retry key idempotent,
內容下載,get content,
上傳,upload,
下載,download,
圖片,image,
影片,video,
音訊,audio,
檔案,file,
載入動畫,loading indicator,
輸入中,loading indicator,
已讀,mark as read,
問候語,greeting message,
自動回覆,auto reply,
群組,group,
多人聊天,room multi-person chat,
聊天室,chat,
機器人,bot,
官方帳號,LINE Official Account,
登入,login,
授權,authorize authorization,
授權碼,authorization code,
更新權杖,refresh token,
撤銷,revoke,
註銷,deauthorize,
身分權杖,id token idToken,
好友狀態,friendship status,
前端框架,liff,
初始化,init,
分享,share shareTargetPicker,
掃碼,scanCodeV2 scan code,
開新視窗,openWindow,
關閉視窗,closeWindow,
永久連結,permanentLink,
權限,permission scope,
通知訊息,notification message pnp,
服務訊息,service message notifier,
優惠券,coupon,
抽獎,lottery,
折扣,discount,
回饋,cashback,
站內購買,in-app purchase IAP,MINI App 的站內購買
內購,in-app purchase IAP,
自訂路徑,custom path,MINI App 的自訂網址路徑
桌面捷徑,add to home screen shortcut,
加到主畫面,add to home screen,
已驗證,verified,已通過審核的 MINI App
未驗證,unverified,
審核,review submission,
送審,submit review,
分享訊息,share messages share target picker,
分享目標選擇器,share target picker,
圖示,icon,
字數上限,maximum number of characters limit,
字元數,number of characters,
橫向,landscape,MINI App 的橫向顯示
直向,portrait,
快速填入,quick fill,MINI App 的個資快速填入
通道同意,channel consent simplification,
外部瀏覽器,external browser,
內建瀏覽器,in-app browser LINE browser,
小程式,mini app LINE MINI App,台灣也常直接說 MINI App
迷你應用,mini app LINE MINI App,
模組,module,LIFF 可搖樹匯入的模組
外掛,plugin,LIFF plugin
暫時關閉,minimize minimizing LIFF browser,
效能規範,performance guidelines,
有效期,expires valid for validity period,
效期,expires valid for,
幾則,how many up to maximum,
範本,template,MINI App 的服務訊息範本
通知權杖,service notification token,
區域,area areas bounds,圖文選單的可點區域
可點區域,areas,
型別,type,
種類,type types,
哪些型別,type,
群組事件,group source groupId,
服務通知權杖,service notification token expires,
通知權杖效期,notification token expires,
一次能發,up to how many,
